,sentence
3814,"Hence,  the  money  invested  in  mutual  fund  schemes  are invested  into  the  major  economical  activities  like  infrastructure  development construction  of  bridge,  buildings,  etc."
3815,222  Financial Management  Types of Mutual Fund  Ownership point of View  Scheme of  Operation point of  View  Portfolio point of  View  Location point of View  Public Sector  Private Sector MF  Growth   Income   Balanced  Domestic Fund  Global  Fund  Regional Fund  Sector Fund  Open ended Scheme  Closed ended  Scheme  Fig.
3816,12.5 Types of Mutual Fund  Public Sector Mutual Fund Unit Trust of India is one of the public sector mutual funds operating from 1964 and it enjoys  the  monopoly  power  in  the  field  of  mutual  funds  up  to  1987.
3817,"After  1987,  Public Sector Commercial Banks and Life Insurance Corporation of India also entered into mutual funds activities."
3818,"State Bank of India, Canara Bank, Punjab National Bank, General Insurance Corporation are some of the public sector mutual funds activities."
3819,"Private Sector Mutual Fund Apart from UTI and public sector commercial banks, some of the private sector financial institutions also entered into the mutual fund activities in India from 1990 onwards."
3820,"Kothari Pioneer mutual fund, Twentieth century mutual fund, ICKI mutual fund, Morgan Stanly mutual fund, Taurus mutual fund and CRB mutual fund are some of the examples of the private sector mutual fund."
3821,Open Ended Mutual Fund When the units are sold and redeemed at any time on-going basis at the price determined by the funds Net Assets Value (NAV) is called as open ended mutual fund.
3822,These mutual fund  has  no  fixed  maturity  periods.
3823,"There  is  no  ceilling  on  the  amount  invested  by  the investors in these funds, and they can sell the units back to mutual funds whenever they decide."
3824,Net Assets Value of the mutual fund is calculated by the  following formula:  Special Financing  223  Net asset value of the unit =  Net assets value of fund  .
3825,Number of outstanding units  Closed Ended Mutual Fund Closed ended mutual funds have fixed maturity period ranging from two to 15 years.
3826,The units  of  closed  ended  mutual  funds  are  not  repurchased  or  redeemed  by  mutual  funds before  the  maturity  period.
3827,The  investors  cannot  buy  units  directly  from  the  fund  after the closing period.
3828,Growth Generated Mutual Fund Mutual  fund  investments  which  are  reinvested  in  highly  growth  oriented  equity  shares are called as growth oriented mutual fund.
3829,It consists of high return with growth potentials.
3830,"Income Generated Mutual Fund If the investor needs regular income for their investment, they can select income oriented mutual fund."
3831,It provides regular income to its investors.
3832,Balanced Mutual Fund Balanced mutual fund is a combination of mutual fund investment in company securities as well as the government bonds.
3833,Investors can get moderate return with safety options.
3834,"Domestic Mutual Fund When the mutual fund mobilizes savings from a particular country or region, it is called domestic  mutual  fund."
3835,Global Mutual Fund When  the  mutual  fund  investment  stocks  are  traded  in  markets  throughout  the  world with the exemption of the country which launches the fund.
3836,"Regional Mutual Fund When the mutual fund consists of a particular region or a country, it is also called as off shore  mutual  fund."
3837,Sector Mutual Fund Sector mutual funds are specializing in a particular industry which consist of aggressive funds.
3838,Top Ten Mutual Fund  (cid:127) UTI  Mutual  Fund (cid:127) Prudential  ICICI  Mutual  Fund (cid:127) Franklin  Templeton  Mutual  Fund (cid:127) SBI Mutual Fund (cid:127) Kotak  Mahindra  Mutual  Fund  (cid:127) Reliance  Mutual  Fund (cid:127) HDFC  Mutual  Fund (cid:127) Birla Sun Life Mutual Fund (cid:127) DSP  Merrill  Lynch  Mutual  Fund (cid:127) Tata  Mutual  Fund  224  Financial Management  MODEL QUESTIONS  1.
3839,Explain  the  types  of  leasing.
3840,2.
3841,Discuss  the  advantages  of  lease  financing.
3842,3.
3843,Explain  the  features  of  venture  capital.
3844,4.
3845,Explain  the  types  of  factoring.
3846,5.
3847,What  is  FDI?
3848,Explain  it.
3849,6.
3850,Discuss  the  functions  of  merchant  banking.
3851,7.
3852,Critically  evaluate  the  role  of  credit  rating  agencies.
3853,8.
3854,Enumerate  the  types  of  mutual  funds.
3855,INTRODUCTION Finance  plays  a  key  role  in  the  part  of  economic  and  business  activities  of  the  country.
3856,Systematic and efficient flow of finance is needed to efficient and effective management of the  business  concern.
3857,"Arrangement  of  finance  to  required  business  concern,  should  be properly maintained and channelised through regulated institutions and markets."
3858,"In India, with  the  effect  of  the  new  economic  policy,  emerging  needs  of  financial  institution  and markets  should  be  looked  after."
3859,Indian  financial  system  has  developed  constantly  and successfully  to  infuse  the  new  blood  to  the  economic  development  of  the  nation.
3860,"Hence, the economic growth and development is purely based on the regulated and well established financial system of the country."
3861,FINANCIAL SYSTEM IN INDIA Financial system is the basic concept for the industrial development of the nation.
3862,Financial system provides adequate and smooth flow of finance to the needed parts.
3863,Indian financial system consists of the four important components such as:      Financial  Institutions (cid:127) Financial Markets (cid:127) Financial  Instruments (cid:127) Financial  Services.
3864,"Financial  system  implies  a  set  of  complex  and  closely  connected  or  intermixed institutions, agent practices, markets, transactions, claims and liabilities in the economy."
3865,"The  financial  system  is  concerned  about  the  money,  loan  and  finance."
3866,These  three  parts are very closely interrelated with each other and depend on each parts.
3867,226  Financial Management  Financial System  Financial  Institutions  Financial  Markets  Financial  Services  Financial  Instruments  Fig.
3868,13.1 Financial System  Financial Institutions Financial institutions are the major part of the Indian financial system.
3869,"Hence, it is more importance than other component of the 1FS because all the components of IFS are directly or  indirectly  related  with  the  financial  institutions."
3870,Financial  institutions  are  providing various  services  to  the  economic  development  with  the  help  of  issuing  of  the  financial instruments.
3871,Financial institutions can be classified into banking and non-banking institutions.
3872,"Now in India, all the financial institutions are systematically regulated and controlled by respective act."
3873,Financial Institutions  Banking  Non-banking  .
3874,Commercial  Banks  Cooperative  Banks  Non- anking  b  Financial Institutions  b  Non- anking Non-financial Institutions  Fig.
3875,13.2 Financial Institutions  Banking Institutions Banking  institutions  are  the  key  part  of  the  economic  development  of  the  nation.
3876,Any country   s financial transaction should be properly arranged from investors to the needed industrialist.
3877,Banking institutions play a major role in the field of savings and investments of money from public and lending loans to the business concern.
3878,Indian Banking institutions may be classified into two board categories : (1) Commercial  Banks                        (2)    Cooperative  Banks  Commercial Banks Commercial Banks are the most important deposits mobilisation and disbursers of finance.
3879,"Indian commercial banks are the oldest, biggest and fastest growing financial institutions."
3880,The main function of the commercial banks are accepting deposits and rendering loans to the public.
3881,Indian commercial banks can be classified into the following categories:  Scheduled Commercial Banks Scheduled banks are those which are included in the second scheduled of Banking Regulation  Financial System  227  Act 1965 and others are non scheduled banks.
